"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"1192","Orleansplein 12 B","11 april 2020","2 mei 2020","3 weken","€ 259.000 kosten koper","€ 2.158","Verkocht","€ 165,00 per maand","Beneden + bovenwoning (appartement)","Bestaande bouw","1930","Zadeldak bedekt met pannen","120 m²","6 m²",NA,"456 m³","5 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Begane grond","Natuurlijke ventilatie en TV kabel","G Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Remeha HR (gas gestookt combiketel uit 2019, huur)","Zie akte","Aan rustige weg en in woonwijk",NA,NA,NA,"Betaald parkeren en parkeervergunningen","Ja","Nee","Nee","Ja","Nee","Ja",NA,"6 m²",NA,NA,NA,"Achtertuin","80 m² (12 meter diep en 6,65 meter breed)","Gelegen op het zuiden",NA
"1193","Patersbaan 6 D","24 februari 2020","7 mei 2020","2 maanden","€ 895.000 kosten koper","€ 4.838","Verkocht","€ 377,93 per maand","Penthouse","Bestaande bouw","1992","Samengesteld dak","185 m²","121 m²","4 m²","592 m³","5 kamers (2 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, 2 douches en toilet","1 woonlaag","4e woonlaag","Airconditioning, buitenzonwering, lift en TV kabel","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel","Volle eigendom","In centrum","Dakterras aanwezig en balkon aanwezig","Box","Parkeerkelder en parkeerplaats","Betaald parkeren, parkeergarage en parkeervergunningen","Ja","Ja","Ja (€ 377,93 per maand)","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1194","Kleine Hofstraat 13, Lanaken, BELGIË","13 december 2019","4 mei 2020","4½ maand","€ 419.000 kosten koper","€ 1.460","Verkocht",NA,NA,"Bestaande bouw","1997",NA,"287 m²",NA,NA,"1.100 m³","3 kamers (2 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en 2 toiletten","2 woonlagen",NA,"Elektrische deur, elektra en stromend water",NA,"Dubbel glas",NA,NA,NA,"Volle eigendom",NA,NA,NA,"Inpandig",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning",NA,"900 m²","Niet beschikbaar","900 m²","Achtertuin",NA,NA,"1 auto"
"1195","Venkelbeemd 1","22 januari 2020","5 april 2020","2 maanden","€ 515.000 kosten koper","€ 3.411","Verkocht",NA,NA,"Bestaande bouw","1994","Zadeldak bedekt met pannen","151 m²","5 m²",NA,"583 m³","7 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","2 woonlagen en een zolder",NA,"Elektrische deur, vliering, elektra en stromend water",NA,"Dakisolatie en muurisolatie","Cv-ketel, heteluchtverwarming en houtkachel","Geiser (huur)","Brink Allure B25 HR -geiser Vaillant Turbo Mag 175 (gas gestookt uit 2002, eigendom)","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,"Inpandig","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","33 m²","438 m²","A Wat betekent dit?","438 m²","Tuin rondom",NA,NA,"1 auto"
"1196","Sonnevillelunet 3 D","20 januari 2020","1 april 2020","2 maanden","€ 429.000 kosten koper","€ 3.460","Verkocht","€ 183,37 per maand","Tussenverdieping (appartement)","Bestaande bouw","1998",NA,"124 m²","4 m²",NA,"392 m³","4 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","3e woonlaag","Mechanische ventilatie en TV kabel",NA,"Dubbel glas","Stadsverwarming en warmte terugwininstallatie","Stadsverwarming",NA,"Volle eigendom","Aan rustige weg en in woonwijk",NA,"Inpandig","Inpandig en parkeerplaats","Betaald parkeren, openbaar parkeren, parkeergarage en parkeervergunningen","Ja","Ja","Ja (€ 183,37 per maand)","Ja","Ja","Ja",NA,NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,"1 auto"
"1197","Meester Ulrichweg 63","14 maart 2020","29 april 2020","6 weken","€ 349.000 kosten koper","€ 2.407","Verkocht",NA,NA,"Bestaande bouw","1939","Zadeldak bedekt met pannen","145 m²","8 m²",NA,"580 m³","7 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen en een kelder",NA,NA,"F Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Gasboiler","Nefit (gas gestookt uit 1987, eigendom)","Volle eigendom","In woonwijk",NA,NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","17 m²","81 m²",NA,"81 m²","Achtertuin","15 m² (3,77 meter diep en 3,89 meter breed)",NA,NA
"1198","Smissenhaag 42","13 maart 2020","13 maart 2020","0 dagen","€ 225.000 kosten koper","€ 1.940",NA,NA,NA,"Bestaande bouw","1981",NA,NA,NA,NA,"417 m³","5 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning",NA,NA,"D 1,67 Wat betekent dit?","116 m² wonen / 142 m² perceel",NA,NA,NA,NA
"1199","Havenstraat 17 A","31 maart 2020","24 april 2020","3 weken","€ 389.000 kosten koper
Hypotheekadvies","€ 4.322","Verkocht",NA,NA,"Bestaande bouw","1975","Zadeldak bedekt met pannen","90 m²",NA,"6 m²","216 m³","4 kamers (2 slaapkamers)","1 badkamer","Toilet","2 woonlagen en een kelder",NA,NA,"B Wat betekent dit?","Dakisolatie, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","CV (gas gestookt combiketel uit 2016, eigendom)","Volle eigendom","Aan rustige weg en in centrum",NA,NA,NA,"Betaald parkeren, openbaar parkeren en parkeergarage",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,NA,NA,"Achtertuin","9 m² (2 meter diep en 4,5 meter breed)","Gelegen op het oosten",NA
"1200","Aubeldomein 1 b","13 april 2020","3 mei 2020","2 weken","€ 184.500 kosten koper","€ 2.250","Verkocht",NA,"Galerijflat (appartement)","Bestaande bouw","1990","Plat dak bedekt met bitumineuze dakbedekking","82 m²",NA,"6 m²","197 m³","4 kamers (2 slaapkamers)","1 badkamer","Ligbad","1 woonlaag","1e woonlaag","Mechanische ventilatie","C Wat betekent dit?","Dubbel glas en volledig geïsoleerd","Cv-ketel","Cv-ketel","CV ketel (gas gestookt combiketel uit 2019, eigendom)","Volle eigendom","In woonwijk en vrij uitzicht","Dakterras aanwezig",NA,"Parkeerplaats","Openbaar parkeren","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201","Gerechtigheidslaan 5","22 maart 2020","1 april 2020","10 dagen","€ 275.000 kosten koper","€ 2.619","Verkocht",NA,NA,"Bestaande bouw","1964",NA,"105 m²",NA,NA,"445 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen, een zolder en een kelder",NA,"Elektra",NA,"Muurisolatie","Cv-ketel","Cv-ketel","HR (gas gestookt combiketel uit 2019, huur)","Volle eigendom",NA,NA,"Inpandig",NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","19 m²","128 m²","C Wat betekent dit?","128 m²","Achtertuin en voortuin","25 m² (7 meter diep en 3,5 meter breed)","Gelegen op het noorden bereikbaar via achterom",NA
"1202","Zeepziedersdreef 23","9 april 2020","26 april 2020","2 weken","€ 195.000 kosten koper","€ 2.010",NA,NA,NA,"Bestaande bouw","1965",NA,NA,NA,NA,"280 m³","4 kamers (2 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"C Wat betekent dit?","97 m² wonen / 168 m² perceel",NA,NA,NA,NA
"1203","Mergelweg 76","30 maart 2020","22 april 2020","3 weken","€ 469.500 kosten koper","€ 2.683","Verkocht",NA,NA,"Bestaande bouw","1957","Zadeldak bedekt met pannen","175 m²",NA,NA,"510 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een kelder",NA,NA,"F Wat betekent dit?","Dakisolatie en HR-glas","Cv-ketel","Cv-ketel","Remeha Calenta (gas gestookt combiketel uit 2019, eigendom)","Volle eigendom",NA,NA,"Inpandig","Carport","Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","22 m²","250 m²",NA,"250 m²","Achtertuin, voortuin en zijtuin","81 m² (8,5 meter diep en 9,5 meter breed)",NA,NA
"1204","Röntgenstraat 29 B","12 maart 2020","1 mei 2020","7 weken","€ 325.000 kosten koper","€ 3.037","Verkocht","€ 168,00 per maand","Galerijflat (appartement)","Bestaande bouw","2002",NA,"107 m²","9 m²","19 m²","382 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","2e woonlaag","Elektra",NA,NA,"Cv-ketel","Cv-ketel","Vaillant (gas gestookt combiketel uit 2017, eigendom)","Volle eigendom",NA,"Balkon aanwezig","Inpandig","Garagebox","Openbaar parkeren en parkeervergunningen","Ja","Ja","Ja (€ 168,00 per maand)","Ja","Ja","Ja",NA,NA,NA,"B Wat betekent dit?",NA,NA,NA,NA,"1 auto"
"1205","Banniersborg 49","19 maart 2020","31 maart 2020","12 dagen","€ 259.000 kosten koper","€ 2.158","Verkocht",NA,NA,"Bestaande bouw","1975","Zadeldak bedekt met pannen","120 m²","3 m²","7 m²","374 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen",NA,"Elektra",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Remeha Quinta (gas gestookt combiketel uit 2007, huur)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, geschakelde woning","4 m²","151 m²","B Wat betekent dit?","151 m²","Achtertuin en voortuin","74 m² (14,77 meter diep en 5,49 meter breed)","Gelegen op het oosten bereikbaar via achterom",NA
"1206","Sint Maternusstraat 8","28 februari 2020","19 maart 2020","2 weken","€ 500.000 kosten koper","€ 3.425","Verkocht",NA,NA,"Bestaande bouw","1959","Zadeldak bedekt met pannen","146 m²",NA,NA,"627 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen, een zolder en een kelder",NA,"Dakraam, mechanische ventilatie, schuifpui en TV kabel","F Wat betekent dit?","Dakisolatie en HR-glas","Cv-ketel","Cv-ketel","Nefit HR (gas gestookt combiketel uit 2004, eigendom)","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,"Inpandig","Carport","Betaald parkeren, op eigen terrein en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","54 m²","188 m²",NA,"188 m²","Achtertuin en voortuin","41 m² (7,5 meter diep en 5,5 meter breed)","Gelegen op het zuidwesten",NA
"1207","Moesdaal 74","2 januari 2020","3 april 2020","3 maanden","€ 219.000 kosten koper","€ 2.461","Verkocht",NA,NA,"Bestaande bouw","1980","Zadeldak bedekt met pannen","89 m²",NA,"4 m²","365 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder",NA,"Elektra en stromend water",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2017, huur)","Mandelig","In woonwijk",NA,"Aangebouwde stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","30 m²","167 m²","D Wat betekent dit?","46 m²","Achtertuin en voortuin","48 m² (11,25 meter diep en 5,5 meter breed)","Gelegen op het westen bereikbaar via achterom",NA
"1208","Hebronstraat 8","19 februari 2020","17 maart 2020","3 weken","€ 154.000 kosten koper","€ 1.925","Verkocht",NA,NA,"Bestaande bouw","1955","Zadeldak bedekt met pannen","80 m²",NA,"6 m²","325 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een zolder",NA,"Elektra",NA,"Dubbel glas","Cv-ketel","Elektrische boiler","Bosch (gas gestookt, eigendom)","Volle eigendom","In woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","18 m²","130 m²","F 2,76 Wat betekent dit?","130 m² (deelperceel)","Achtertuin en voortuin","66 m² (11 meter diep en 6 meter breed)","Gelegen op het noordwesten bereikbaar via achterom",NA
"1209","Adelbert van Scharnlaan R 9 r","3 april 2020","28 april 2020","3 weken","€ 175.000 kosten koper","€ 2.397","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1973","Plat dak","73 m²","4 m²","20 m²","230 m³","5 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","3e woonlaag",NA,NA,"Dubbel glas","Blokverwarming","Geiser (huur)",NA,"Volle eigendom","In woonwijk",NA,"Inpandig",NA,"Openbaar parkeren","Nee","Nee","Nee","Nee","Nee","Nee",NA,"1 m²",NA,"Niet beschikbaar",NA,NA,NA,NA,NA
"1210","Rijksweg 33","8 januari 2020","14 januari 2020","6 dagen","€ 399.000 kosten koper","€ 2.558",NA,NA,NA,"Bestaande bouw","1933",NA,NA,NA,NA,"666 m³","6 kamers (5 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning",NA,NA,"C Wat betekent dit?","156 m² wonen / 475 m² perceel",NA,NA,NA,NA
"1211","Holsteinbastion 41 B","15 april 2020","23 april 2020","8 dagen","€ 115.000 kosten koper","€ 3.026","Verkocht","€ 148,28 per maand","Galerijflat (appartement)","Bestaande bouw","1969","Plat dak bedekt met bitumineuze dakbedekking","38 m²","1 m²","5 m²","131 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","2e woonlaag","Elektra",NA,"Dakisolatie, gedeeltelijk dubbel glas en vloerisolatie","Blokverwarming","Geiser (huur)",NA,"Volle eigendom","Aan rustige weg en in woonwijk","Balkon aanwezig","Inpandig",NA,"Betaald parkeren en parkeervergunningen","Ja","Ja","Ja (€ 148,28 per maand)","Ja","Ja","Ja",NA,NA,NA,"D Wat betekent dit?",NA,NA,NA,NA,NA
"1212","Koperslagersdreef 15 C","8 april 2020","23 april 2020","2 weken","€ 185.000 kosten koper","€ 2.312","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1965","Plat dak bedekt met bitumineuze dakbedekking","80 m²","5 m²","5 m²","256 m³","5 kamers (3 slaapkamers)","1 badkamer","Douche","1 woonlaag","3e woonlaag","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Blokverwarming","Elektrische boiler (huur)",NA,"Volle eigendom","In woonwijk, open ligging en vrij uitzicht",NA,"Inpandig",NA,"Openbaar parkeren","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,"E Wat betekent dit?",NA,NA,NA,NA,NA
"1213","Soendastraat 7","3 april 2020","28 april 2020","3 weken","€ 375.000 kosten koper","€ 2.568","Verkocht",NA,NA,"Bestaande bouw","2010","Zadeldak bedekt met pannen","146 m²",NA,"19 m²","542 m³","6 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen",NA,"Vliering, elektra en stromend water",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel","Nefit HR (gas gestookt combiketel uit 2010, eigendom)","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,NA,"Aangebouwde stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",NA,"266 m²","A Wat betekent dit?","266 m²","Achtertuin en voortuin",NA,NA,"1 auto"
"1214","Hertog van Brabantlaan 81","17 januari 2020","17 maart 2020","2 maanden","€ 259.000 kosten koper","€ 2.008","Verkocht",NA,NA,"Bestaande bouw","1973","Zadeldak bedekt met pannen","129 m²","18 m²",NA,"497 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen",NA,"Elektra en stromend water",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt uit 2011, huur","Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,"Vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","17 m²","312 m²","D Wat betekent dit?","312 m²","Achtertuin en voortuin",NA,NA,"1 auto"
"1215","Vulcanushof 33 A","25 maart 2020","30 maart 2020","5 dagen","€ 149.000 kosten koper","€ 3.548","Verkocht","€ 126,00 per maand","Benedenwoning","Bestaande bouw","1980","Plat dak bedekt met bitumineuze dakbedekking","42 m²","1 m²","3 m²","149 m³","2 kamers (1 slaapkamer)","1 badkamer","Ligbad, douche en toilet","1 woonlaag","Begane grond",NA,"B Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","Nefit HR ketel (gas gestookt combiketel uit 2003, eigendom)","Volle eigendom","Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",NA,"Vrijstaande houten berging",NA,"Openbaar parkeren","Ja","Ja","Ja (€ 126,00 per maand)","Ja","Ja","Ja",NA,"1 m²",NA,NA,NA,"Achtertuin","29 m² (5,58 meter diep en 5,22 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA
"1216","Cannerweg 292","2 maart 2020","20 maart 2020","2 weken","€ 335.000 kosten koper","€ 3.221","Verkocht",NA,NA,"Bestaande bouw","1958","Zadeldak bedekt met pannen","104 m²","2 m²","18 m²","469 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen, een vliering en een kelder",NA,"Schuifpui, TV kabel en zonnepanelen","E Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Nefit HR (gas gestookt uit 2010, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk","Balkon aanwezig","Vrijstaande stenen berging","Garagebox","Betaald parkeren, op eigen terrein en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","32 m²","187 m²",NA,"187 m²","Achtertuin en voortuin","75 m² (15 meter diep en 5 meter breed)","Gelegen op het zuidwesten","1 auto"
"1217","Brusselseweg 346","21 februari 2020","24 maart 2020","4 weken","€ 395.000 kosten koper","€ 2.782","Verkocht",NA,NA,"Bestaande bouw","1970","Zadeldak bedekt met pannen","142 m²","10 m²","45 m²","617 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","4 woonlagen",NA,"Elektrische deur, elektra en stromend water","D Wat betekent dit?","Dubbel glas en muurisolatie","Cv-ketel en open haard","Cv-ketel","Remeha (gas gestookt combiketel uit 2010, eigendom)","Volle eigendom","In woonwijk","Balkon aanwezig",NA,"Vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","30 m²","620 m²",NA,"113 m²","Tuin rondom",NA,NA,"1 auto"
"1218","Glacisweg 32 E","1 april 2020","23 april 2020","3 weken","€ 375.000 kosten koper","€ 4.360","Verkocht","€ 179,45 per maand","Galerijflat (appartement)","Bestaande bouw","1997",NA,"86 m²","6 m²","9 m²","280 m³","4 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","1e woonlaag","Elektrische deur",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel","Vaillant eco tec classic VHR (gas gestookt combiketel uit 2019, eigendom)","Volle eigendom","In centrum en in woonwijk",NA,"Inpandig","Inpandig, parkeerkelder, parkeerplaats en souterrain","Betaald parkeren en parkeervergunningen","Ja","Ja","Ja (€ 179,45 per maand)","Ja","Ja","Ja",NA,NA,NA,"C 1,59 Wat betekent dit?",NA,NA,NA,NA,"1 auto"
"1219","Kasteel Caestertstraat 39","2 april 2020","2 april 2020","0 dagen","€ 245.000 kosten koper","€ 2.042","Verkocht",NA,NA,"Bestaande bouw","1987","Zadeldak bedekt met pannen","120 m²",NA,NA,"435 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Airconditioning, mechanische ventilatie, rolluiken en rookkanaal","C Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Nefit HR+ Combi (gas gestookt combiketel uit 2006, huur)","Volle eigendom",NA,NA,"Aangebouwde stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","4 m²","185 m²",NA,"185 m²","Achtertuin en voortuin",NA,NA,NA
"1220","Speciedonk 3","29 april 2020","28 april 2020",NA,"€ 269.000 kosten koper","€ 1.881","Verkocht",NA,NA,"Bestaande bouw","1970","Zadeldak bedekt met pannen","143 m²",NA,NA,"559 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder",NA,"TV kabel","D Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel en geiser","Gas gestookt combiketel, eigendom","Volle eigendom",NA,NA,NA,"Aangebouwde stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","21 m²","242 m²",NA,"242 m²","Achtertuin en voortuin","99 m² (11 meter diep en 9 meter breed)","Gelegen op het zuidoosten","1 auto"
"1221","Oranjeplein 50 C","26 maart 2020","14 april 2020","2 weken","€ 345.000 kosten koper","€ 3.450","Verkocht","€ 211,00 per maand","Portiekflat (appartement)","Bestaande bouw","1965",NA,"100 m²",NA,"7 m²","310 m³","5 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","2e woonlaag","Elektra","E Wat betekent dit?","Dubbel glas","Blokverwarming","Elektrische boiler",NA,"Volle eigendom",NA,"Balkon aanwezig","Inpandig",NA,"Betaald parkeren en parkeervergunningen","Ja","Ja","Ja (€ 211,00 per maand)","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1222","Scharnerweg","17 april 2020","22 april 2020","5 dagen","€ 19.000 kosten koper",NA,"Verkocht",NA,NA,"Bestaande bouw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garage",NA,NA,NA,NA,NA,NA,NA,NA,"20 m²",NA,"20 m²",NA,NA,NA,"1"
"1223","Schippersdreef 52 B","9 april 2020","20 april 2020","11 dagen","€ 179.000 kosten koper","€ 2.238","Verkocht","€ 239,00 per maand","Portiekflat (appartement)","Bestaande bouw","1965","Plat dak bedekt met bitumineuze dakbedekking","80 m²","5 m²",NA,"240 m³","5 kamers (2 slaapkamers)","1 badkamer","Douche en toilet","1 woonlaag","1e woonlaag","Elektra",NA,"Dubbel glas en HR-glas","Blokverwarming","Elektrische boiler (huur)",NA,"Volle eigendom","Aan park, aan rustige weg en open ligging",NA,"Inpandig",NA,"Openbaar parkeren","Ja","Ja","Ja (€ 239,00 per maand)","Ja","Ja","Ja",NA,"7 m²",NA,"E Wat betekent dit?",NA,NA,NA,NA,NA
