"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"2534","Molièrelaan 43","25 maart 2020","7 april 2020","13 dagen","€ 379.000 kosten koper","€ 2.787","Verkocht","Eengezinswoning, geschakelde 2-onder-1-kapwoning","Bestaande bouw","1998","Mansarde dak bedekt met pannen","136 m²",NA,"235 m²","522 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra en verwarming",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"235 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","102 m² (12 meter diep en 8,5 meter breed)","Gelegen op het zuidwesten",NA,"Op eigen terrein en openbaar parkeren","10 m²","2 m²","Aangebouwde stenen garage","1 auto","HR combiketel Vaillant (gas gestookt combiketel uit 2012, eigendom)",NA,NA,"Balkon aanwezig en frans balkon aanwezig",NA,NA,NA
"2535","Luiklaan 19","29 februari 2020","26 maart 2020","3 weken","€ 269.000 kosten koper","€ 2.514","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1969","Zadeldak bedekt met pannen","107 m²","9 m²","153 m²","383 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"153 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","66 m² (11 meter diep en 6 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Intergas (gas gestookt combiketel uit 2017, eigendom)",NA,NA,NA,NA,NA,NA
"2536","Woenselse Markt 13 B","1 februari 2020","26 februari 2020","3 weken","€ 400.000 kosten koper","€ 3.252","Verkocht",NA,"Bestaande bouw","2002","Plat dak bedekt met bitumineuze dakbedekking","123 m²","6 m²",NA,"375 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en warmte terugwininstallatie","Cv-ketel",NA,NA,"Volle eigendom","In centrum en vrij uitzicht","Zonneterras",NA,"Gelegen op het oosten","Inpandig","Openbaar parkeren","4 m²","33 m²","Parkeerplaats",NA,"2016, eigendom",NA,NA,"Balkon aanwezig","€ 142,00 per maand","Galerijflat (appartement)",NA
"2537","Wijnpeerstraat 75","14 januari 2020","31 januari 2020","2 weken","€ 219.000 kosten koper","€ 1.973","Verkocht",NA,"Bestaande bouw","1966",NA,"111 m²","8 m²",NA,"350 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet",NA,"6 woonlagen",NA,NA,"Grotendeels dubbelglas","Blokverwarming",NA,NA,NA,"Volle eigendom","In woonwijk",NA,NA,NA,"Inpandig",NA,NA,"13 m²",NA,NA,NA,NA,"€ 216 per maand",NA,NA,"Galerijflat (appartement)",NA
"2538","Amundsenlaan 287","21 februari 2020","21 april 2020","2 maanden","€ 315.000 kosten koper","€ 2.716","Verkocht",NA,"Bestaande bouw","1972",NA,"116 m²","6 m²",NA,"317 m³","3 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","Elektra",NA,"Dakisolatie, dubbel glas en muurisolatie","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","In centrum en in woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren","4 m²","16 m²",NA,NA,NA,NA,NA,"Balkon aanwezig",NA,"Portiekflat (appartement)",NA
"2539","Ruwenberg 15","2 november 2019","4 maart 2020","4 maanden","€ 389.500 kosten koper","€ 2.419","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1975","Zadeldak bedekt met pannen","161 m²","10 m²","241 m²","550 m³","5 kamers (4 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"241 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","90 m² (18 meter diep en 5 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Vrijstaande stenen berging","Op eigen terrein en openbaar parkeren",NA,"18 m²","Carport",NA,"Vaillant (gas gestookt combiketel uit 2007, eigendom)",NA,NA,NA,NA,NA,NA
"2540","Aldendriel 87","15 november 2019","28 februari 2020","3 maanden","€ 479.500 kosten koper","€ 3.330","Verkocht","Herenhuis, geschakelde woning","Bestaande bouw","1977","Plat dak bedekt met bitumineuze dakbedekking","144 m²",NA,"373 m²","558 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen","Verwarming",NA,"Muurisolatie","Cv-ketel","Cv-ketel",NA,"373 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin","140 m² (13,44 meter diep en 10,45 meter breed)","Gelegen op het oosten bereikbaar via achterom",NA,"Openbaar parkeren","17 m²","58 m²","Aangebouwde stenen garage, inpandig en parkeerplaats","1 auto","Vaillant HR (gas gestookt combiketel uit 2016, eigendom)",NA,NA,"Dakterras aanwezig",NA,NA,NA
"2541","Graaf Adolfstraat 162","15 februari 2020","4 maart 2020","2 weken","€ 300.000 kosten koper","€ 3.093","Verkocht",NA,"Bestaande bouw","1972","Plat dak","97 m²","8 m²",NA,"310 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","10 woonlagen","Lift en zonnepanelen","E Wat betekent dit?","Dubbel glas","Blokverwarming","Elektrische boiler",NA,NA,"Volle eigendom","Aan park, aan rustige weg, in woonwijk, open ligging en vrij uitzicht",NA,NA,NA,"Inpandig","Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,"21 m²",NA,NA,NA,NA,"€ 120 per maand","Balkon aanwezig",NA,"Portiekflat (appartement)",NA
"2542","Kleine Berg 121","2 april 2020","22 april 2020","2 weken","€ 249.000 kosten koper","€ 4.611","Verkocht",NA,"Bestaande bouw","1983",NA,"54 m²","6 m²",NA,"175 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Ligbad","1 woonlaag","Elektra","D Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In centrum",NA,NA,NA,"Inpandig","Parkeergarage",NA,"4 m²",NA,NA,"Nefit (gas gestookt combiketel uit 2013, eigendom)",NA,NA,"Balkon aanwezig","€ 122,27 per maand","Galerijflat",NA
"2543","Neerpeltlaan 25","2 maart 2020","24 maart 2020","3 weken","€ 245.000 kosten koper","€ 1.856","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1968",NA,"132 m²","10 m²","170 m²","410 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","D Wat betekent dit?","Grotendeels dubbelglas en volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"170 m²",NA,"In woonwijk","Achtertuin en voortuin","13 meter diep en 6,4 meter breed","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging",NA,NA,NA,NA,NA,"Nefit (gas gestookt combiketel uit 2011, eigendom)",NA,NA,NA,NA,NA,NA
"2544","Wijngaardplein 42","11 februari 2020","6 maart 2020","3 weken","€ 175.000 kosten koper","€ 1.620","Verkocht",NA,"Bestaande bouw","1970","Plat dak bedekt met bitumineuze dakbedekking","108 m²","11 m²",NA,"346 m³","5 kamers (4 slaapkamers)",NA,NA,"10 woonlagen","Elektra",NA,"Dakisolatie en vloerisolatie","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom",NA,NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"10 m²",NA,NA,NA,NA,"€ 213 per maand",NA,"€ 213,00 per maand","Galerijflat (appartement)",NA
"2545","Fleminglaan 30","3 februari 2020","19 februari 2020","2 weken","€ 850.000 kosten koper","€ 3.058","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1978",NA,"278 m²",NA,"704 m²","985 m³","7 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen en een zolder",NA,"C Wat betekent dit?",NA,NA,"Cv-ketel",NA,"704 m²",NA,NA,"Tuin rondom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2546","Goudenregenstraat 31","1 april 2020","22 april 2020","3 weken","€ 275.000 kosten koper","€ 2.570","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1936","Zadeldak bedekt met pannen","107 m²",NA,"86 m²","386 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Dakraam","E Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel",NA,"86 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin","26 m² (4,5 meter diep en 5,7 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA,"Openbaar parkeren",NA,"8 m²",NA,NA,"Gas gestookt combiketel uit 2010, eigendom",NA,NA,"Dakterras aanwezig en balkon aanwezig",NA,NA,NA
"2547","'t Hofke 72","29 augustus 2019","13 september 2019","2 weken","€ 250.000 kosten koper","€ 2.083","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1946","Zadeldak bedekt met pannen","120 m²",NA,"198 m²","300 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel",NA,"198 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en zijtuin","91 m² (13 meter diep en 7 meter breed)","Gelegen op het noorden bereikbaar via achterom",NA,"Op eigen terrein en openbaar parkeren",NA,NA,"Vrijstaande stenen garage","1 auto","2015, eigendom",NA,NA,NA,NA,NA,NA
"2548","Boschdijk 383 13","17 januari 2020","7 februari 2020","3 weken","€ 250.000 kosten koper","€ 4.310","Verkocht",NA,"Bestaande bouw","2011","Plat dak bedekt met bitumineuze dakbedekking","58 m²",NA,NA,"196 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","4 woonlagen","Buitenzonwering, glasvezelkabel, lift, mechanische ventilatie en TV kabel","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In centrum, in woonwijk en vrij uitzicht","Zonneterras",NA,"Gelegen op het zuiden","Inpandig","Openbaar parkeren",NA,"26 m²","Parkeerplaats",NA,"Remeha HR (gas gestookt combiketel uit 2010, eigendom)",NA,NA,"Dakterras aanwezig","€ 114,93 per maand","Galerijflat (appartement)",NA
"2549","Koning Arthurlaan 9","19 februari 2020","15 april 2020","8 weken","€ 275.000 kosten koper","€ 2.132","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1978","Zadeldak","129 m²","49 m²","219 m²","428 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektrische deur, vliering, elektra, verwarming en stromend water",NA,"Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel",NA,"219 m²","Volle eigendom","Aan park, aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin","86 m² (13,9 meter diep en 6,2 meter breed)","Gelegen op het noorden bereikbaar via achterom",NA,"Openbaar parkeren",NA,"4 m²","Vrijstaande stenen garage","2 auto's","Combiketel uit 2010",NA,NA,NA,NA,NA,NA
"2550","Gemberstraat 30","19 december 2019","15 januari 2020","3 weken","€ 350.000 kosten koper","€ 2.734","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","1972","Plat dak bedekt met bitumineuze dakbedekking","128 m²",NA,"318 m²","506 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel",NA,"318 m²","Volle eigendom","In bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin",NA,NA,NA,"Openbaar parkeren","19 m²","2 m²","Inpandig","1 auto","Bosch hrc (gas gestookt combiketel uit 2008, eigendom)",NA,NA,NA,NA,NA,NA
"2551","Oranjestraat 14","3 april 2020","9 april 2020","6 dagen","€ 450.000 kosten koper","€ 3.333","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1915","Plat dak","135 m²",NA,"140 m²","511 m³","6 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten",NA,"2 woonlagen","Natuurlijke ventilatie","C Wat betekent dit?","Dakisolatie, gedeeltelijk dubbel glas en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"140 m²","Volle eigendom","In centrum en in woonwijk","Achtertuin","65 m² (10 meter diep en 6,5 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom",NA,"Parkeervergunningen","10 m²",NA,NA,NA,"Vaillant HR combi Solide Plus (gas gestookt combiketel uit 2010, eigendom)",NA,NA,NA,NA,NA,NA
"2552","Westenbergstraat 34","23 maart 2020","23 april 2020","4 weken","€ 279.500 kosten koper","€ 2.310","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1987","Zadeldak bedekt met pannen","121 m²","10 m²","131 m²","403 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Elektra","B Wat betekent dit?","Dakisolatie, dubbel glas en HR-glas","Cv-ketel","Cv-ketel",NA,"131 m²",NA,"Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,NA,"CV-ketelinstallatie Remeha (2017, eigendom)",NA,NA,NA,NA,NA,NA
"2553","Schans 29","11 maart 2020","26 maart 2020","2 weken","€ 250.000 kosten koper","€ 2.000","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1973","Plat dak bedekt met bitumineuze dakbedekking","125 m²","6 m²","145 m²","425 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Airconditioning, glasvezelkabel en TV kabel",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"145 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","90 m² (18 meter diep en 5 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande houten berging","Op eigen terrein en openbaar parkeren","11 m²","10 m²",NA,NA,"2008, eigendom",NA,NA,"Balkon aanwezig",NA,NA,NA
"2554","Tiengemetenstraat 4","30 januari 2020","14 maart 2020","6 weken","€ 275.000 kosten koper","€ 2.350","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1969","Zadeldak bedekt met pannen","117 m²","26 m²","159 m²","394 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"17 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","60 m² (11 meter diep en 5,5 meter breed)","Gelegen op het noorden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"3 m²",NA,NA,"2000, eigendom",NA,NA,"Balkon aanwezig",NA,NA,NA
"2555","de Vier Heemskinderenlaan 3","14 maart 2020","27 maart 2020","13 dagen","€ 239.000 kosten koper","€ 2.464","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1960",NA,"97 m²","9 m²","149 m²","337 m³","4 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,NA,"Dubbel glas","Cv-ketel","Cv-ketel",NA,"149 m²","Volle eigendom",NA,"Achtertuin en voortuin","75 m² (12,5 meter diep en 6 meter breed)","Gelegen op het noorden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Combiketel",NA,NA,NA,NA,NA,NA
"2556","Barrierweg 12","1 april 2020","24 april 2020","3 weken","€ 325.000 kosten koper","€ 3.125","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1958","Zadeldak bedekt met pannen","104 m²","22 m²","325 m²","370 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra en stromend water","E Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel en elektrische boiler",NA,"325 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","0,01 meter diep en 0,01 meter breed",NA,NA,"Op eigen terrein, openbaar parkeren en parkeergarage",NA,NA,"Vrijstaande stenen garage","1 auto","Vaillant (gas gestookt combiketel uit 2013, eigendom)",NA,NA,NA,NA,NA,NA
"2557","Jean Racinelaan 4","11 maart 2020","27 maart 2020","2 weken","€ 375.000 kosten koper","€ 3.049","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1998","Mansarde dak bedekt met pannen","123 m²",NA,"230 m²","533 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra en stromend water",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"230 m²","Volle eigendom",NA,"Achtertuin en voortuin","98 m² (11,5 meter diep en 8,5 meter breed)","Gelegen op het noordoosten",NA,"Op eigen terrein en openbaar parkeren","24 m²","3 m²","Aangebouwde stenen garage","1 auto","Ferroli HR Combi (gas gestookt combiketel uit 2014, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
"2558","Fransebaan 481","13 februari 2020","6 maart 2020","3 weken","€ 285.000 kosten koper","€ 2.036","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1981","Zadeldak bedekt met pannen","140 m²","10 m²","246 m²","474 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen en een zolder","Elektra",NA,"Dubbel glas","Cv-ketel","Cv-ketel",NA,"246 m²","Volle eigendom","Aan rustige weg","Achtertuin en voortuin","126 m² (21 meter diep en 6 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"12 m²","Carport",NA,"Nefit (gas gestookt combiketel, eigendom)",NA,NA,NA,NA,NA,NA
"2559","Cahorslaan 1","31 januari 2020","26 februari 2020","3 weken","€ 339.000 kosten koper","€ 2.530","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1984",NA,"134 m²","17 m²","309 m²","455 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Stoomcabine, douche en toilet","3 woonlagen","Elektra",NA,NA,NA,NA,NA,"48 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin","108 m² (18,6 meter diep en 5,78 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom","Vrijstaande stenen berging",NA,NA,NA,"Carport",NA,NA,NA,NA,NA,NA,NA,NA
"2560","Nîmeslaan 16","14 januari 2020","9 maart 2020","7 weken","€ 550.000 kosten koper","€ 2.895","Verkocht","Bungalow, vrijstaande woning","Bestaande bouw","1988","Plat dak bedekt met bitumineuze dakbedekking","190 m²","7 m²","567 m²","825 m³","5 kamers (4 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, 2 douches en 2 toiletten","1 woonlaag","Elektrische deur, elektra en verwarming","A Wat betekent dit?",NA,"Cv-ketel en gedeeltelijke vloerverwarming","Elektrische boiler",NA,"567 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zonneterras","180 m² (18 meter diep en 10 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande houten berging",NA,"32 m²","19 m²","Inpandig","2 auto's","Gas gestookt, eigendom",NA,NA,NA,NA,NA,NA
"2561","Aldendriel 69","1 april 2020","8 april 2020","7 dagen","€ 350.000 kosten koper","€ 2.333","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1976","Zadeldak bedekt met pannen","150 m²",NA,"266 m²","591 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Vliering, elektra en stromend water","C Wat betekent dit?","Dakisolatie, gedeeltelijk dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"266 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin","121 m² (12,2 meter diep en 9,9 meter breed)","Gelegen op het zuiden",NA,"Openbaar parkeren","27 m²","4 m²","Inpandig","1 auto","AWB (gas gestookt combiketel uit 1998, eigendom)",NA,NA,NA,NA,NA,NA
"2562","Heezerweg 221","31 maart 2020","10 april 2020","10 dagen","€ 325.000 kosten koper","€ 2.826","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1938","Zadeldak bedekt met pannen","115 m²","8 m²","143 m²","404 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","E Wat betekent dit?","Dubbel glas","Cv-ketel en open haard","Cv-ketel",NA,"143 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","63 m² (11,3 meter diep en 5,6 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"HR Atag (gas gestookt combiketel uit 2019, eigendom)",NA,NA,NA,NA,NA,NA
"2563","Ganzebloemstraat 7","21 maart 2020","27 maart 2020","6 dagen","€ 375.000 kosten koper","€ 3.788","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1937","Zadeldak","99 m²","10 m²","155 m²","368 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Dakraam",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"155 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","70 m² (12,92 meter diep en 5,5 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Remeha (gas gestookt combiketel uit 2020, eigendom)",NA,NA,NA,NA,NA,NA
