"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"1164","Dennenstraat 102","26 maart 2020","6 april 2020","11 dagen","€ 167.500 kosten koper","€ 1.523","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1959","Zadeldak bedekt met pannen","110 m²",NA,"154 m²","378 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Douche en toilet","2 woonlagen en een zolder","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2017, eigendom","154 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het oosten bereikbaar via achterom",NA,NA,NA,NA,"5 m²","14 m²","Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"72 m² (12 meter diep en 6 meter breed)"
"1165","Menno van Coehoornstraat 3","16 november 2018","24 maart 2020","16 maanden","€ 350.000 kosten koper","€ 1.483","Verkocht","Herenhuis, vrijstaande woning","Bestaande bouw","1882","Zadeldak bedekt met pannen","236 m²","70 m²","482 m²","1.224 m³","6 kamers (5 slaapkamers)",NA,NA,"2 woonlagen en een zolder","TV kabel","Niet verplicht",NA,"Heteluchtverwarming en houtkachel","Geiser",NA,"482 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het zuiden bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"233 m² (18,85 meter diep en 12,36 meter breed)"
"1166","Ibisstraat 38","26 maart 2020","17 april 2020","3 weken","€ 175.000 kosten koper","€ 2.160","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","81 m²","8 m²","94 m²","327 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"2 woonlagen en een zolder","Glasvezelkabel, mechanische ventilatie en TV kabel","F Wat betekent dit?","Dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2016, eigendom)","94 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noorden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"9 m²","2 m²","Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"24 m² (7,5 meter diep en 3,2 meter breed)"
"1167","Dielsfinne 4","13 maart 2020","2 april 2020","2 weken","€ 385.000 kosten koper","€ 2.655","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2017","Zadeldak bedekt met bitumineuze dakbedekking en pannen","145 m²",NA,"308 m²","518 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Stoomcabine en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Geen isolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Gas gestookt combiketel uit 2018, eigendom","308 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het zuiden bereikbaar via achterom","Carport",NA,"Op eigen terrein",NA,NA,"20 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"72 m² (8 meter diep en 9 meter breed)"
"1168","Susternemear 35 b","23 april 2020","9 mei 2020","2 weken","€ 379.500 kosten koper","€ 2.097","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2016","Samengesteld dak bedekt met pannen","181 m²",NA,"334 m²","615 m³","7 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Dakisolatie, HR-glas, muurisolatie en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Intergas HRE (gas gestookt uit 2016, eigendom)","334 m²","Volle eigendom","Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het noorden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"158 m² (22,5 meter diep en 7 meter breed)"
"1169","Achter de Hoven 250","18 april 2020","29 april 2020","11 dagen","€ 172.500 kosten koper","€ 2.054","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw",NA,"Samengesteld dak","84 m²",NA,"152 m²","302 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen","Elektra","G Wat betekent dit?","Dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2017, eigendom)","152 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,NA,NA,NA,"9 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,"1906-1930","38 m² (8,5 meter diep en 4,5 meter breed)"
"1170","Mozartstraat 115","10 april 2020","7 mei 2020","3 weken","€ 219.000 kosten koper","€ 2.126","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","103 m²","6 m²","142 m²","401 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","D Wat betekent dit?","Gedeeltelijk dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","Vaillant (gas gestookt combiketel uit 2003, eigendom)","142 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,"5 m²",NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"63 m² (10,5 meter diep en 6 meter breed)"
"1171","Tjaardastate 11","21 februari 2020","22 maart 2020","4 weken","€ 169.000 kosten koper","€ 1.817","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1980","Zadeldak bedekt met pannen","93 m²",NA,"153 m²","311 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen","Dakraam, glasvezelkabel en TV kabel",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Atag (gas gestookt combiketel uit 2016, huur)","153 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,"C Wat betekent dit?",NA,"34 m² (8,5 meter diep en 4 meter breed)"
"1172","Smeetsmastins 8","25 maart 2020","6 april 2020","12 dagen","€ 224.500 kosten koper","€ 2.388","Verkocht",NA,"Bestaande bouw","1995",NA,"94 m²",NA,NA,"285 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"1 woonlaag","Lift",NA,"Dakisolatie, driedubbel glas, dubbel glas, eco-bouw, gedeeltelijk dubbel glas, geen spouw, grotendeels dubbelglas, HR-glas, kierdichting, muurisolatie, vloerisolatie, volledig geïsoleerd en voorzetramen","Cv-ketel",NA,"Combiketel uit 2015, eigendom",NA,"Volle eigendom","In woonwijk",NA,NA,NA,NA,NA,NA,"Portiekflat (appartement)","10 m²","5 m²","Dakterras aanwezig","Ja","Ja","Ja (€ 139,00 per maand)","Ja","Nee","Ja","Inpandig","€ 139,00 per maand","2e woonlaag","C Wat betekent dit?",NA,NA
"1173","Cornelis Frederiksstraat 1","10 april 2020","8 mei 2020","4 weken","€ 174.500 kosten koper
Hypotheekadvies","€ 1.064","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1901","Samengesteld dak bedekt met pannen","164 m²",NA,"147 m²","640 m³","5 kamers (4 slaapkamers)","2 badkamers","Ligbad, douche en toilet","3 woonlagen",NA,"E Wat betekent dit?",NA,NA,NA,NA,"147 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,NA,NA,NA,"Openbaar parkeren",NA,"13 m²","7 m²","Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,NA
"1174","Nijlânsdyk 229 b","20 maart 2020","16 april 2020","3 weken","€ 148.000 kosten koper","€ 2.085","Verkocht",NA,"Bestaande bouw","1960","Plat dak","71 m²",NA,NA,"227 m³","3 kamers (2 slaapkamers)","1 badkamer","Ligbad en douche","3 woonlagen",NA,"D Wat betekent dit?",NA,"Cv-ketel","Cv-ketel","Intergas HR (gas gestookt uit 2015, eigendom)",NA,"Volle eigendom",NA,NA,NA,NA,NA,NA,"Openbaar parkeren","Portiekflat (appartement)","7 m²","23 m²","Balkon aanwezig","Nee","Nee","Nee","Nee","Nee","Nee","Inpandig",NA,"2e woonlaag",NA,NA,NA
"1175","Keizerskroon 279","18 maart 2020","6 mei 2020","7 weken","€ 175.000 kosten koper","€ 1.346","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1974",NA,"130 m²","17 m²","172 m²","450 m³","5 kamers (4 slaapkamers)",NA,NA,"3 woonlagen",NA,NA,NA,"Cv-ketel","Cv-ketel","Gas gestookt combiketel, eigendom","172 m²","Volle eigendom",NA,"Achtertuin en voortuin",NA,"Gelegen op het oosten bereikbaar via achterom",NA,NA,NA,NA,NA,"9 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,"C Wat betekent dit?",NA,"83 m² (15 meter diep en 5,5 meter breed)"
"1176","Rollemastate 91","26 februari 2020","18 maart 2020","3 weken","€ 274.500 kosten koper","€ 1.989","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","1989",NA,"138 m²","22 m²","276 m²","577 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een vliering",NA,NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel",NA,"Combiketel uit 2003, eigendom","276 m²","Volle eigendom","Aan water","Achtertuin en voortuin",NA,"Gelegen op het noorden","Aangebouwde stenen garage","1 auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C Wat betekent dit?",NA,"100 m² (10 meter diep en 10 meter breed)"
"1177","Groningerstraatweg 204","6 maart 2020","30 maart 2020","3 weken","€ 219.500 kosten koper
Hypotheekadvies","€ 2.051","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1939","Zadeldak bedekt met pannen","107 m²","21 m²","163 m²","500 m³","5 kamers (3 slaapkamers)","1 badkamer en 2 aparte toiletten","Douche en toilet","2 woonlagen, een zolder en een kelder","Elektra","G Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Remeha Avanta (gas gestookt combiketel uit 2009, eigendom)","163 m²","Volle eigendom","Aan drukke weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zonneterras",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,"15 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"22 m² (5,5 meter diep en 4 meter breed)"
"1178","Begoniastraat 54","14 maart 2020","2 april 2020","2 weken","€ 159.500 kosten koper","€ 1.437","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1965","Plat dak bedekt met bitumineuze dakbedekking","111 m²",NA,"210 m²","397 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen","Elektra","E 2,05 Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","Remaha Avanta (gas gestookt combiketel uit 2011, eigendom)","210 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen",NA,NA,"Openbaar parkeren",NA,"7 m²","6 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"76 m² (13,6 meter diep en 5,6 meter breed)"
"1179","Ereprijs 17","29 oktober 2019","29 april 2020","6 maanden","€ 229.500 kosten koper","€ 2.049","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1975","Lessenaardak bedekt met pannen","112 m²","2 m²","200 m²","300 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen",NA,"D Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Nefit Proline Next (2017)","200 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noordwesten bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Parkeergarage",NA,"2 m²","2 m²","Balkon aanwezig en frans balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"66 m² (11 meter diep en 6 meter breed)"
"1180","Skrok 1 C","7 april 2020","19 april 2020","12 dagen","€ 179.500 kosten koper","€ 2.426","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","2016","Plat dak bedekt met bitumineuze dakbedekking","74 m²",NA,"163 m²","275 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen",NA,"Niet beschikbaar","Volledig geïsoleerd","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Intergas (gas gestookt combiketel uit 2016, eigendom)","163 m²","Volle eigendom","In woonwijk","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het noorden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74 m² (13,5 meter diep en 5,5 meter breed)"
"1181","Mr. P.J. Troelstraweg 69","13 maart 2020","20 maart 2020","7 dagen","€ 345.000 kosten koper
Hypotheekadvies","€ 1.917","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1931","Samengesteld dak bedekt met pannen","180 m²","9 m²","382 m²","757 m³","6 kamers (5 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad en 2 douches","2 woonlagen, een zolder met vliering en een kelder","Dakraam, glasvezelkabel, natuurlijke ventilatie en TV kabel",NA,"Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel en geiser","Combiketel HR (gas gestookt combiketel, eigendom)","382 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,"13 m²",NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G Wat betekent dit?",NA,"175 m² (24,5 meter diep en 9,1 meter breed)"
"1182","Mr. P.J. Troelstraweg 152","6 maart 2020","20 april 2020","6 weken","€ 250.000 kosten koper","€ 2.427","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1922","Samengesteld dak","103 m²","7 m²","287 m²","429 m³","3 kamers (2 slaapkamers)","2 badkamers en 1 apart toilet","Douche en toilet","2 woonlagen, een vliering en een kelder","Glasvezelkabel en TV kabel",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Nefit Proline HeR 30 CWS (gas gestookt combiketel uit 2016)","287 m²","Volle eigendom","Aan drukke weg, in woonwijk en landelijk gelegen","Achtertuin en voortuin",NA,"Gelegen op het oosten","Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,"2 m²","17 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"G Wat betekent dit?",NA,"125 m² (20 meter diep en 7 meter breed)"
"1183","Jozef Israëlsstraat 12","5 februari 2020","23 april 2020","2½ maand","€ 153.500 kosten koper","€ 1.994","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","77 m²","4 m²","87 m²","277 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een zolder","Buitenzonwering, dakraam en TV kabel",NA,"Geen isolatie","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2017, eigendom)","87 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"12 m²","4 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,"F Wat betekent dit?",NA,"18 m² (5,4 meter diep en 3,4 meter breed)"
"1184","Keizerskroon 10","18 maart 2020","7 april 2020","2 weken","€ 195.000 kosten koper","€ 1.455","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1973","Zadeldak bedekt met pannen","134 m²","9 m²","142 m²","502 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Douche en toilet","3 woonlagen","Vliering en elektra",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2015, eigendom)","142 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten",NA,NA,"Openbaar parkeren",NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"C Wat betekent dit?",NA,"55 m² (9,15 meter diep en 6 meter breed)"
"1185","Oosterkade 127","6 maart 2020","11 april 2020","5 weken","€ 300.000 kosten koper
Hypotheekadvies","€ 2.913","Verkocht","Grachtenpand, tussenwoning","Bestaande bouw","1932","Plat dak","103 m²","8 m²","144 m²","458 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektrische deur, elektra, verwarming en stromend water","Niet beschikbaar","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","REMEHA (gas gestookt combiketel, eigendom)","72 m²","Volle eigendom","Aan water, in centrum en vrij uitzicht",NA,NA,NA,"Inpandig","3 auto's","Openbaar parkeren",NA,"13 m²","44 m²","Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,NA
"1186","Schuilenburg 60","7 april 2020","20 april 2020","13 dagen","€ 209.000 kosten koper","€ 1.900","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw",NA,"Zadeldak bedekt met pannen","110 m²","5 m²","212 m²","275 m³","4 kamers (3 slaapkamers)","1 badkamer en 2 aparte toiletten",NA,"3 woonlagen","TV kabel","D Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Nefit Proline HRC 24 CW4 (2009, eigendom)","212 m²","Volle eigendom","In woonwijk","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom","Aangebouwde stenen garage","1 auto",NA,NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1981-1990","36 m² (6 meter diep en 6 meter breed)"
"1187","De Ynset 31","10 april 2020","30 april 2020","2 weken","€ 325.000 kosten koper","€ 2.372","Verkocht","Herenhuis, hoekwoning","Bestaande bouw","2017","Zadeldak","137 m²",NA,"239 m²","500 m³","6 kamers (5 slaapkamers)","1 badkamer","Ligbad, douche en toilet","3 woonlagen","Elektra","Niet beschikbaar","Volledig geïsoleerd","Warmtepomp","Cv-ketel",NA,"239 m²","Volle eigendom","Aan rustige weg en in woonwijk","Tuin rondom",NA,NA,NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,NA
"1188","Ringiastins 24","18 maart 2020","30 maart 2020","12 dagen","€ 245.000 kosten koper","€ 2.168","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1990","Zadeldak bedekt met pannen","113 m²","16 m²","257 m²","466 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2007, eigendom)","257 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen","Aangebouwde stenen garage","1 auto","Op eigen terrein",NA,NA,"14 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"99 m² (11 meter diep en 9 meter breed)"
"1189","3e Vegelindwarsstraat 16","11 juni 2019","20 maart 2020","9 maanden","€ 239.500 kosten koper","€ 1.916","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2005",NA,"125 m²","31 m²","93 m²","530 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,NA,"Volledig geïsoleerd","Warmtepomp","Elektrische boiler",NA,"93 m²","Volle eigendom","In woonwijk","Voortuin","15 m² (3 meter diep en 5 meter breed)","Gelegen op het noordwesten","Inpandig","1 auto",NA,NA,"27 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A Wat betekent dit?",NA,NA
"1190","Wiardaplantage 26","9 april 2020","20 april 2020","11 dagen","€ 245.000 kosten koper","€ 2.188","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2006",NA,"112 m²",NA,"161 m²","392 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad, douche en toilet","2 woonlagen en een zolder","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel","Gas gestookt combiketel, eigendom","161 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het oosten bereikbaar via achterom",NA,NA,"Op eigen terrein",NA,"2 m²","10 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"75 m² (12,5 meter diep en 6 meter breed)"
"1191","Achter de Hoven 258","23 maart 2020","2 april 2020","10 dagen","€ 169.500 kosten koper","€ 1.883","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1921","Zadeldak bedekt met pannen","90 m²",NA,"127 m²","322 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","2 woonlagen","Glasvezelkabel en natuurlijke ventilatie","B Wat betekent dit?","Dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2019, eigendom)","127 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 m² (9,5 meter diep en 3,25 meter breed)"
"1192","De Wetering 11","21 april 2020","25 april 2020","4 dagen","€ 275.000 kosten koper
Hypotheekadvies","€ 2.183","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2001","Lessenaardak bedekt met bitumineuze dakbedekking","126 m²",NA,"260 m²","439 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","B Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Nefit Ecomline HR ( combiketel uit 2001, eigendom)","260 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Op eigen terrein en openbaar parkeren",NA,"3 m²","18 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105 m² (10,5 meter diep en 10 meter breed)"
